ETH,8,0,2022-11-14T02:00:00+07:00
BNB,1,0,2022-11-14T02:00:00+07:00
XRP,2,0,2022-11-14T02:00:00+07:00
ADA,1,0,2022-11-14T02:00:00+07:00
BTC,4,1,2022-11-14T02:05:00+07:00
ETH,3,1,2022-11-14T02:05:00+07:00
BNB,0,0,2022-11-14T02:05:00+07:00
XRP,2,1,2022-11-14T02:05:00+07:00
ADA,0,0,2022-11-14T02:05:00+07:00
BTC,6,1,2022-11-14T02:10:00+07:00
ETH,6,0,2022-11-14T02:10:00+07:00
BNB,0,0,2022-11-14T02:10:00+07:00
XRP,1,0,2022-11-14T02:10:00+07:00
ADA,0,0,2022-11-14T02:10:00+07:00
BTC,6,0,2022-11-14T02:15:00+07:00
ETH,9,2,2022-11-14T02:15:00+07:00
BNB,0,0,2022-11-14T02:15:00+07:00
XRP,1,0,2022-11-14T02:15:00+07:00
ADA,2,0,2022-11-14T02:15:00+07:00
BTC,4,0,2022-11-14T02:20:00+07:00
ETH,2,0,2022-11-14T02:20:00+07:00
BNB,0,0,2022-11-14T02:20:00+07:00
XRP,1,0,2022-11-14T02:20:00+07:00
ADA,0,0,2022-11-14T02:20:00+07:00
BTC,8,-1,2022-11-14T02:25:00+07:00
ETH,4,0,2022-11-14T02:25:00+07:00
BNB,1,1,2022-11-14T02:25:00+07:00
XRP,1,0,2022-11-14T02:25:00+07:00
ADA,0,0,2022-11-14T02:25:00+07:00
BTC,5,0,2022-11-14T02:30:00+07:00
ETH,5,0,2022-11-14T02:30:00+07:00
BNB,2,0,2022-11-14T02:30:00+07:00
XRP,1,0,2022-11-14T02:30:00+07:00
ADA,2,0,2022-11-14T02:30:00+07:00
BTC,6,0,2022-11-14T02:35:00+07:00
ETH,4,-1,2022-11-14T02:35:00+07:00
BNB,1,0,2022-11-14T02:35:00+07:00
XRP,1,0,2022-11-14T02:35:00+07:00
ADA,1,0,2022-11-14T02:35:00+07:00
BTC,7,0,2022-11-14T02:40:00+07:00
ETH,4,0,2022-11-14T02:40:00+07:00
BNB,1,0,2022-11-14T02:40:00+07:00
XRP,2,0,2022-11-14T02:40:00+07:00
ADA,1,0,2022-11-14T02:40:00+07:00
BTC,2,0,2022-11-14T02:45:00+07:00
ETH,1,0,2022-11-14T02:45:00+07:00
BNB,3,0,2022-11-14T02:45:00+07:00
XRP,1,0,2022-11-14T02:45:00+07:00
ADA,2,0,2022-11-14T02:45:00+07:00
BTC,3,0,2022-11-14T02:50:00+07:00
ETH,1,0,2022-11-14T02:50:00+07:00
BNB,1,1,2022-11-14T02:50:00+07:00
XRP,0,0,2022-11-14T02:50:00+07:00
ADA,1,-1,2022-11-14T02:50:00+07:00
BTC,2,0,2022-11-14T02:55:00+07:00
ETH,2,0,2022-11-14T02:55:00+07:00
BNB,1,1,2022-11-14T02:55:00+07:00
XRP,0,0,2022-11-14T02:55:00+07:00
ADA,1,0,2022-11-14T02:55:00+07:00
BTC,11,0,2022-11-14T03:00:00+07:00
ETH,13,2,2022-11-14T03:00:00+07:00
BNB,3,0,2022-11-14T03:00:00+07:00
XRP,3,0,2022-11-14T03:00:00+07:00
ADA,2,1,2022-11-14T03:00:00+07:00
BTC,3,1,2022-11-14T03:05:00+07:00
ETH,1,0,2022-11-14T03:05:00+07:00
BNB,2,0,2022-11-14T03:05:00+07:00
XRP,1,0,2022-11-14T03:05:00+07:00
ADA,0,0,2022-11-14T03:05:00+07:00
BTC,6,0,2022-11-14T03:10:00+07:00
ETH,2,0,2022-11-14T03:10:00+07:00
BNB,1,0,2022-11-14T03:10:00+07:00
XRP,0,0,2022-11-14T03:10:00+07:00
ADA,2,0,2022-11-14T03:10:00+07:00
BTC,5,1,2022-11-14T03:15:00+07:00
ETH,4,1,2022-11-14T03:15:00+07:00
BNB,1,1,2022-11-14T03:15:00+07:00
XRP,1,0,2022-11-14T03:15:00+07:00
ADA,1,0,2022-11-14T03:15:00+07:00
